"stock","terminal_catch_year","n_retros","fbar_rho","ssb_rho","ssb_intermediate_year","rec_rho","rec_intermediate_year","expert_opinion","modified","year","StockDatabaseID","StockKey","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate"
"anf.27.3a46",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1813,169054,"Anglerfish (Lophius budegassa, Lophius piscatorius) in Subareas 4 and 6, and Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)",136487,"ang-ivvi","Lophius budegassa, Lophius piscatorius","Anglerfish","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group",3.2,2018,1,2019,"Survey trends-based assessment","31/10/18","PA","Catches","","No","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","5.3.2",10174,"2018-11-14T09:02:51.523+01:00"
"anf.27.3a46",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2373,169054,"Anglerfish (Lophius budegassa, Lophius piscatorius) in Subareas 4 and 6, and Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)",136487,"ang-ivvi","Lophius budegassa, Lophius piscatorius","Anglerfish","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group",3.2,2018,1,2019,"Survey trends-based assessment","31/10/19","PA","Catches","","No","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","5.3.2",NA,"2018-11-14T09:02:51.523+01:00"
"ank.27.78abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1808,195875,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)",169049,"ank.27.78ab","Lophius budegassa","Black-bellied anglerfish","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group",3.2,2018,1,2019,"Survey trends-based assessment","29/06/18","PA","Catches","used","Yes in year(s) 2018","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","5.3.1",NA,"2018-11-15T11:50:25.347+01:00"
"ank.27.78abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2368,195875,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)",169049,"ank.27.78ab","Lophius budegassa","Black-bellied anglerfish","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group",3.2,2019,1,2020,"Survey trends-based assessment","28/06/19","PA","Catches","used","Yes in year(s) 2018","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","5.3.1",13000,"2019-08-19T09:45:12.537+01:00"
"ank.27.8c9a",2017,6,-0.127,0.125,"No",0,"No","This stock was assessed using a production model (SPICT). Values are reported for F/Fmsy and B/Bmsy.","5/10/2018 6:37 PM",2018,1809,169050,"Black-bellied anglerfish (Lophius budegassa) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)",136483,"anb-8c9a","Lophius budegassa","Black-bellied anglerfish","Bay of Biscay and the Iberian Coast Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group",3.2,2018,1,2019,"SPiCT relative results","29/06/18","PA","Catches","not used","No","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","7.3.2",10303,"2018-11-15T11:52:02.543+01:00"
"ank.27.8c9a",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2369,169050,"Black-bellied anglerfish (Lophius budegassa) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)",136483,"anb-8c9a","Lophius budegassa","Black-bellied anglerfish","Bay of Biscay and the Iberian Coast Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group",3.2,2019,1,2020,"SPiCT relative results","28/06/19","PA","Catches","not used","No","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","7.3.2",12974,"2019-07-03T10:32:58.223+01:00"
"aru.27.123a4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1795,169057,"Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)",150496,"arg-123a4","Argentina silus","Greater silver smelt","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.2,2017,2,2019,"Survey trends-based assessment","08/06/18, 13/06/17","PA","Landings","not used","Yes in year(s) 2015","pelagic planktivore","Demersal","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.3",NA,"2018-11-14T09:04:57.3+01:00"
"aru.27.123a4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2289,169057,"Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)",150496,"arg-123a4","Argentina silus","Greater silver smelt","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.2,2019,2,2021,"Survey trends-based assessment","13/06/19, 11/06/19","PA","Landings","not used","Yes in year(s) 2015, 2019","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.3",12619,"2019-08-20T12:30:35.587+01:00"
"aru.27.5a14",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1590,169059,"Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136490,"arg-icel","Argentina silus","Greater silver smelt","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.3,2018,1,2019,"Survey trends-based assessment","08/06/18, 13/06/17","PA","Catches","not used","No","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.4",9503,"2018-09-11T12:10:20.473+01:00"
"aru.27.5a14",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2298,169059,"Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136490,"arg-icel","Argentina silus","Greater silver smelt","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.3,2019,1,2020,"Survey trends-based assessment","13/06/19, 11/06/19","PA","Catches","not used","No","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.4",12692,"2019-06-11T11:56:06.51+01:00"
"aru.27.5b6a",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1796,169058,"Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland)",150497,"arg-5b6a","Argentina silus","Greater silver smelt","Celtic Seas Ecoregion, Faroes Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.2,2017,2,2019,"Survey trends-based assessment","08/06/18, 13/06/17","PA","Landings","not used","Yes in year(s) 2016","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.5",NA,"2018-11-14T09:05:45.177+01:00"
"aru.27.5b6a",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2290,169058,"Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland)",150497,"arg-5b6a","Argentina silus","Greater silver smelt","Celtic Seas Ecoregion, Faroes Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.2,2019,2,2021,"Survey trends-based assessment","13/06/19, 11/06/19","PA","Landings","not used","Yes in year(s) 2015, 2019","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.5",12704,"2019-06-11T11:57:50.133+01:00"
"aru.27.6b7-1012",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1797,169060,"Greater silver smelt (Argentina silus) in subareas 7-10 and 12, and Division 6.b (other areas)",150506,"arg-rest","Argentina silus","Greater silver smelt","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.2,2017,2,2019,"Survey trends-based assessment","08/06/18, 13/06/17","PA","Landings","not used","No","pelagic planktivore","Demersal","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.6",NA,"2018-11-21T11:10:02.89+01:00"
"aru.27.6b7-1012",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2291,169060,"Greater silver smelt (Argentina silus) in subareas 7-10 and 12, and Division 6.b (other areas)",150506,"arg-rest","Argentina silus","Greater silver smelt","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.2,2019,2,2021,"Survey trends-based assessment","13/06/19, 11/06/19","PA","Catches","not used","No","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.6",12965,"2019-08-20T12:30:51.427+01:00"
"bli.27.5a14",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1591,169061,"Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136492,"bli-5a14","Molva dypterygia","Blue ling","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.3,2018,1,2019,"Survey trends-based assessment","08/06/18, 13/06/17","PA","Catches","not used","Yes in year(s) 2018","demersal piscivore","Demersal","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.7",9896,"2018-11-14T09:07:14.227+01:00"
"bli.27.5a14",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2299,169061,"Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136492,"bli-5a14","Molva dypterygia","Blue ling","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",3.3,2019,1,2020,"Survey trends-based assessment","13/06/19, 11/06/19","PA","Catches","not used","Yes in year(s) 2018, 2019","demersal piscivore","Demersal","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.7",12918,"2019-06-11T12:01:41.007+01:00"
"bli.27.5b67",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1592,169062,"Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)",136493,"bli-5b67","Molva dypterygia","Blue ling","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",1,2018,2,2020,"Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)","08/06/18, 13/06/17","MSY","Catches","not used",NA,"demersal piscivore","Demersal","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.8",9467,"2018-11-14T09:07:44.273+01:00"
"bli.27.5b67",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2300,169062,"Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)",136493,"bli-5b67","Molva dypterygia","Blue ling","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",1,2018,2,2020,"Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)","13/06/19, 11/06/19","MSY","Catches","not used",NA,"demersal piscivore","Demersal","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.8",NA,"2018-11-14T09:07:44.273+01:00"
"bli.27.nea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1593,169063,"Blue ling (Molva dypterygia) in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a (other areas)",136495,"bli-oth","Molva dypterygia","Blue ling","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",5.3,2017,2,2019,"Catch trends-based assessment","08/06/18, 13/06/17","PA","Catches","not used","No","demersal piscivore","Demersal","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.9",NA,"2018-12-06T15:35:40.727+01:00"
"bli.27.nea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2301,169063,"Blue ling (Molva dypterygia) in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a (other areas)",136495,"bli-oth","Molva dypterygia","Blue ling","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",5.3,2019,4,2023,"Catch trends-based assessment","13/06/19, 11/06/19","PA","Catches","not used","No","demersal piscivore","Demersal","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.9",12896,"2019-06-11T12:02:39.557+01:00"
"bll.27.22-32",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1594,169064,"Brill (Scophthalmus rhombus) in subdivisions 22-32 (Baltic Sea)",136496,"bll-2232","Scophthalmus rhombus","Brill","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group",3.2,2017,3,2020,"Survey trends-based assessment","31/05/18","PA/Stock status only","Catches","Assessment","Yes in year(s) 2013, 2017","demersal piscivore","Benthic","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","8.3.2",NA,"2018-11-15T11:54:49.75+01:00"
"bll.27.22-32",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2302,169064,"Brill (Scophthalmus rhombus) in subdivisions 22-32 (Baltic Sea)",136496,"bll-2232","Scophthalmus rhombus","Brill","Baltic Sea Ecoregion","WGBFAS","Baltic Fisheries Assessment Working Group","ADGBS","Baltic Sea Advice Drafting Group",3.2,2017,3,2020,"Survey trends-based assessment","31/05/19","PA/Stock status only",NA,"","Yes in year(s) 2013, 2017","demersal piscivore","Benthic","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","8.3.2",NA,"2019-06-03T12:01:24.877+01:00"
"bll.27.3a47de",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1595,169065,"Brill (Scophthalmus rhombus) in Subarea 4 and divisions 3.a and 7.d-e (North Sea, Skagerrak and Kattegat, English Channel)",136497,"bll-nsea","Scophthalmus rhombus","Brill","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks",3.2,2017,2,2019,"Commercial lpue trends-based assessment","29/06/18","PA","Catches","assessment","No","demersal piscivore","Benthic","medium demersal",TRUE,"2019-10-19T16:47:41.49+01:00","6.3.1",NA,"2018-11-14T09:09:04.72+01:00"
